I0127 19:45:28.493981   10923 serve.go:43] cloudcode_cli (Jan 14 2025 09:42:54 -0800, cl:715417153 baseline:711414959)
I0127 19:45:28.494029   10923 serve.go:44] Command line: ["/home/stevenlagadapati1012/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0127 19:45:28.495650   10923 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I0127 19:45:28.607705   10923 configuration.go:182] product updateChannel will be used
W0127 19:45:28.607772   10923 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0127 19:45:28.607786   10923 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0127 19:45:28.607806   10923 configuration.go:639] language thresholds: map[]
I0127 19:45:28.607844   10923 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0127 19:45:28.607870   10923 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc001048b19 StopSequences:map[] DataFilePromptLines:0}
I0127 19:45:28.607907   10923 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc001048b29 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0127 19:45:28.608095   10923 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0127 19:45:28.608139   10923 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0127 19:45:28.608150   10923 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0127 19:45:28.608185   10923 configuration.go:281] Configured settings for canCancelRequests: true
I0127 19:45:28.608193   10923 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0127 19:45:28.609039   10923 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
